OrderID,Price,Quantity,FilledQuantity,Timestamp
5330,1200,51,34,1761059718
5492,1204,71,0,1761059725
5321,1208,36,0,1761059718
5398,1209,78,0,1761059721
5382,1217,100,0,1761059720
5314,1218,86,0,1761059718
5216,1223,25,0,1761059714
5487,1231,63,0,1761059724
5443,1233,30,0,1761059723
5213,1238,79,0,1761059714
5345,1239,34,0,1761059719
5360,1239,94,0,1761059719
5172,1241,79,0,1761059712
5350,1241,60,0,1761059719
5018,1243,84,46,1761059706
5494,1243,15,0,1761059725
5143,1248,23,0,1761059710
5257,1255,95,0,1761059715
5202,1256,97,0,1761059713
5392,1265,22,0,1761059721
5479,1271,76,0,1761059724
5385,1272,99,0,1761059720
5000,1277,77,0,1761059705
5060,1278,14,0,1761059707
5463,1282,18,0,1761059724
5245,1283,28,0,1761059715
5466,1286,46,0,1761059724
5121,1288,78,0,1761059710
5290,1288,45,0,1761059717
5381,1289,62,0,1761059720
5211,1295,23,0,1761059714
5215,1296,31,0,1761059714
5500,4400,44,0,1761059766
